State,Rank,Make/Model,Make,Model Year,Thefts
Alabama,1,Chevrolet Pickup (Full Size),Chevrolet,2005,499.00
Alabama,2,Ford Pickup (Full Size),Ford,2006,357.00
Alabama,3,Toyota Camry,Toyota,2014,205.00
Alabama,4,Nissan Altima,Nissan,2014,191.00
Alabama,4,Chevrolet Impala,Chevrolet,2004,191.00
Alabama,5,Honda Accord,Honda,1998,180.00
Alabama,6,GMC Pickup (Full Size),GMC,1999,152.00
Alabama,7,Dodge Pickup (Full Size),Dodge,1998,138.00
Alabama,8,Ford Mustang,Ford,2002,122.00
Alabama,9,Ford Explorer,Ford,2002,119.00
Alaska,1,Chevrolet Pickup (Full Size),Chevrolet,2003,147.00
Alaska,2,Ford Pickup (Full Size),Ford,2004,95.00
Alaska,3,GMC Pickup (Full Size),GMC,1997,58.00
Alaska,4,Honda Civic,Honda,2000,56.00
Alaska,5,Honda Accord,Honda,1993,46.00
Alaska,6,Dodge Pickup (Full Size),Dodge,1998,44.00
Alaska,7,Ford Explorer,Ford,1994,31.00
Alaska,8,Jeep Cherokee/Grand Cherokee,Jeep,1999,28.00
Alaska,9,Ford Pickup (Small Size),Ford,2000,22.00
Alaska,10,Chevrolet Pickup (Small Size),Chevrolet,1998,20.00
Arizona,1,Honda Accord,Honda,1997,1072.00
Arizona,2,Honda Civic,Honda,1998,1016.00
Arizona,3,Chevrolet Pickup (Full Size),Chevrolet,2004,850.00
Arizona,4,Ford Pickup (Full Size),Ford,2006,772.00
Arizona,5,Dodge Pickup (Full Size),Dodge,2001,428.00
Arizona,6,Nissan Altima,Nissan,2015,269.00
Arizona,7,GMC Pickup (Full Size),GMC,2015,246.00
Arizona,8,Toyota Camry,Toyota,1999,210.00
Arizona,9,Jeep Cherokee/Grand Cherokee,Jeep,1994,207.00
Arizona,10,Nissan Sentra,Nissan,2014,200.00
Arkansas,1,Chevrolet Pickup (Full Size),Chevrolet,2004,402.00
Arkansas,2,Ford Pickup (Full Size),Ford,2008,252.00
Arkansas,3,GMC Pickup (Full Size),GMC,1997,174.00
Arkansas,4,Dodge Pickup (Full Size),Dodge,1999,127.00
Arkansas,5,Honda Accord,Honda,1997,122.00
Arkansas,6,Nissan Altima,Nissan,2015,89.00
Arkansas,7,Toyota Camry,Toyota,2013,82.00
Arkansas,8,Chevrolet Impala,Chevrolet,2012,76.00
Arkansas,9,Chevrolet Malibu,Chevrolet,2006,72.00
Arkansas,10,Chevrolet Tahoe,Chevrolet,2003,68.00
California,1,Honda Accord,Honda,1996,28345.00
California,2,Honda Civic,Honda,1998,28045.00
California,3,Chevrolet Pickup (Full Size),Chevrolet,2006,6048.00
California,4,Toyota Camry,Toyota,1991,5345.00
California,5,Ford Pickup (Full Size),Ford,2006,4504.00
California,6,Acura Integra,Acura,1994,4273.00
California,7,Toyota Corolla,Toyota,2014,3339.00
California,8,Nissan Sentra,Nissan,1997,2555.00
California,9,Nissan Altima,Nissan,1997,2281.00
California,10,Honda CR-V,Honda,1999,2033.00
Colorado,1,Honda Civic,Honda,1997,1380.00
Colorado,2,Honda Accord,Honda,1997,1167.00
Colorado,3,Ford Pickup (Full Size),Ford,2005,595.00
Colorado,4,Jeep Cherokee/Grand Cherokee,Jeep,1999,594.00
Colorado,5,Chevrolet Pickup (Full Size),Chevrolet,2000,450.00
Colorado,6,Dodge Pickup (Full Size),Dodge,2001,308.00
Colorado,7,Subaru Legacy,Subaru,1996,215.00
Colorado,8,Acura Integra,Acura,1994,208.00
Colorado,9,Toyota Camry,Toyota,1989,203.00
Colorado,10,Toyota Corolla,Toyota,2014,170.00
Connecticut,1,Honda Accord,Honda,1997,534.00
Connecticut,2,Honda Civic,Honda,1998,532.00
Connecticut,3,Nissan Maxima,Nissan,1998,184.00
Connecticut,4,Nissan Altima,Nissan,1997,143.00
Connecticut,5,Toyota Camry,Toyota,2014,131.00
Connecticut,6,Jeep Cherokee/Grand Cherokee,Jeep,2000,110.00
Connecticut,7,Toyota Corolla,Toyota,1999,99.00
